username;country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;income;mortgage;others
hclover0;Germany;01/12/1976;Private;Bachelors;Married; Male;17;19340;1862;true;iPhone, Honda
lkeiling1;Germany;10/14/1982;Private;Bachelors;Married; Male;33,5;9081;671;true;Others, Others
ehampson2;Germany;01/12/1977;Private;Doctorate;Married; Male;16,5;6838;1325;true;iPhone, Seat
bstennes3;Germany;11/18/1989;Public;Bachelors;Never Married; Male;21;4522;1063;false;Iphone, Volkswagen
hkalb4;Portugal;4/20/1977;Public;Bachelors;Married; Female;20;21558;2530;false;iPhone, Others
dheaton5;France;09/11/1989;Public;High School;Married; Female;36,5;3111;773;false;Samsung, Others
swathan6;France;2/15/1981;Self Employed;Masters;Married; Female;39;9152;513;true;iPhone, Others
bcrudginton7;Italy;12/14/1970;Self Employed;Bachelors;Divorced; Male;19,5;9796;1699;false;iPhone, Seat
ewarden8;Spain;4/30/1985;Unknown;High School;Separated; Female;20;34562;2408;true;Iphone, Seat
spenas9;France;08/01/1983;Private;Bachelors;Married; Male;35,5;3031;1313;false;Iphone, Others
hhannabussa;Germany;9/28/1981;Unknown;Doctorate;Married; Male;35,5;9392;898;false;Samsung, Audi
syesipovb;Germany;06/02/1978;Unknown;Bachelors;Married; Male;39;7343;660;false;Others, Honda
mmcgonigalc;Germany;04/02/1986;Unknown;Bachelors;Married; Female;19;13612;1808;false;iPhone, Seat
ktitterelld;Portugal;8/31/1972;Self Employed;Bachelors;Married; Male;23;8913;803;true;Samsung, BMW
jdallawaye;France;08/02/1983;Private;Masters;Married; Male;27;8764;888;true;iPhone, Others
rpermainf;Italy;6/26/1989;Unknown;Bachelors;Divorced; Male;10;8791;434;true;Samsung, Audi
gbortolig;Italy;11/22/1978;Self Employed;High School;Married; Male;31;4769;1032;false;Iphone, Non
edeboyh;Portugal;06/08/1977;Unknown;High School;Married; Male;34,5;8574;1357;true;iPhone, Audi
cplayfordi;France;04/09/1973;Private;High School;Married; Male;16,5;9669;919;false;iPhone, Others
lleechmanj;Portugal;7/16/1989;Unknown;Doctorate;Never Married; Female;22,5;6364;1243;false;Iphone, Non
dbeerk;Spain;3/21/1971;Private;Doctorate;Married; Male;25;3971;996;true;iPhone, Others
btunnyl;Portugal;3/15/1986;Self Employed;Bachelors;Divorced; Female;39,5;6291;648;false;iPhone, Seat
vpudenm;Germany;9/13/1977;Public;Bachelors;Separated; Male;28,5;5321;920;false;Others, Honda
btresloven;Portugal;08/02/1983;Private;Doctorate;Married; Male;21,5;5710;1272;false;iPhone, Others
