username;country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;salary;mortgage;others
hclover0;Italy;23/04/1969;Private;Bachelors;Married; Male;17;2799;2840;true;iPhone, Honda
lkeiling1;Spain;15/01/1970;Private;Bachelors;Married; Male;33,5;2393;2576;true;Others, Others
ehampson2;Italy;31/03/1966;Private;Doctorate;Married; Male;16,5;2408;3265;true;iPhone, Seat
bstennes3;Slovakia;08/07/1968;Public;Bachelors;Never Married; Male;21;6885;2075;false;Iphone, Volkswagen
hkalb4;Germany;26/10/1965;Public;Bachelors;Married; Female;20;2288;1515;false;iPhone, Others
dheaton5;Romania;04/05/1974;Public;High School;Married; Female;36,5;2270;3414;false;Samsung, Others
swathan6;Netherlands;22/12/1966;Self Employed;Masters;Married; Female;39;6040;3491;true;iPhone, Others
bcrudginton7;Italy;22/04/1991;Self Employed;Bachelors;Divorced; Male;19,5;2926;2469;false;iPhone, Seat
ewarden8;Poland;22/11/1964;Unknown;High School;Separated; Female;20;2629;3109;true;Iphone, Seat
spenas9;Poland;16/10/1967;Private;Bachelors;Married; Male;35,5;2289;1461;false;Iphone, Others
hhannabussa;Slovakia;17/10/1986;Unknown;Doctorate;Married; Male;35,5;2470;2289;false;Samsung, Audi
syesipovb;Austria;02/12/1971;Unknown;Bachelors;Married; Male;39;2756;1508;false;Others, Honda
mmcgonigalc;Poland;06/01/1969;Unknown;Bachelors;Married; Female;19;2850;3122;false;iPhone, Seat
ktitterelld;Poland;05/08/1980;Self Employed;Bachelors;Married; Male;23;3038;2737;true;Samsung, BMW
jdallawaye;Poland;10/03/1996;Private;Masters;Married; Male;27;1855;1506;true;iPhone, Others
rpermainf;France;19/03/1970;Unknown;Bachelors;Divorced; Male;10;2890;1998;true;Samsung, Audi
gbortolig;Germany;04/11/1992;Self Employed;High School;Married; Male;31;1409;1662;false;Iphone, Non
edeboyh;Poland;25/11/1990;Unknown;High School;Married; Male;34,5;2880;1608;true;iPhone, Audi
cplayfordi;Spain;18/12/1984;Private;High School;Married; Male;16,5;2710;2099;false;iPhone, Others
lleechmanj;Estonia;11/05/1999;Unknown;Doctorate;Never Married; Female;22,5;1702;1107;false;Iphone, Non
dbeerk;Sweden;25/09/1990;Private;Doctorate;Married; Male;25;4818;2407;true;iPhone, Others
btunnyl;Germany;26/03/1992;Self Employed;Bachelors;Divorced; Female;39,5;1491;1100;false;iPhone, Seat
vpudenm;Germany;10/07/1975;Public;Bachelors;Separated; Male;28,5;2806;1440;false;Others, Honda
btresloven;Italy;12/07/1988;Private;Doctorate;Married; Male;21,5;2975;1673;false;iPhone, Others
bvautino;Spain;26/08/1961;Public;Bachelors;Never Married; Female;24,5;2527;3328;true;iPhone, Seat
clawleffp;Romania;11/01/1989;Unknown;High School;Married; Male;38;2037;2206;true;iPhone, Non
ebricknerq;Germany;11/09/1977;Self Employed;Bachelors;Married; Male;36;2073;3172;false;iPhone, Others
bbrunigesr;Spain;01/02/1985;Self Employed;High School;Divorced; Male;17;2382;1609;true;iPhone, Ford
mleckys;Spain;23/09/1963;Unknown;Bachelors;Married; Male;36,5;2206;2931;true;Iphone, Volkswagen
laxcellt;France;28/11/1978;Self Employed;Bachelors;Married; Male;35,5;2681;1599;true;iPhone, Others
gloughlanu;France;28/09/1967;Public;Masters;Married; Male;37,5;2335;2330;false;Samsung, Others
drasellesv;Italy;19/08/1964;Public;Doctorate;Separated; Male;29;2249;2968;false;Iphone, Honda
ekeddyw;Belgium;03/05/1988;Unknown;High School;Married; Male;17;2809;1619;true;iPhone, Ford
jcarrodusx;Sweden;29/01/1969;Self Employed;Bachelors;Never Married; Male;29,5;3941;3305;true;iPhone, Audi
lromaniny;Netherlands;05/07/1986;Private;High School;Married; Male;28,5;2174;1925;false;Iphone, Audi
sswatheridgez;Germany;06/05/1985;Private;Bachelors;Married; Male;25;2736;3030;false;Samsung, Others
